image_path,text,variant_idx,severity_label,severity_encoded,split
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0235.JPEG,"The rear bumper exhibits deformation, specifically localized on the right side. The material is identified as plastic, which displays a noticeable change in shape. Further inspection may be necessary to assess the extent of the alteration.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0183.JPEG,"At the center of the front fender, a deformation is present in the metal. The adjacent front bumper shosw signs of potential misalignment due to the observed damage.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\0013.JPEG,"The front bumper displays deformation at the right side, with visible plastic material showing signs of disruption. Additionally, the adjacent head appears affected by the deformation observed on the bumper.",0,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0240.JPEG,"Technician's note: A scratch is present on the left side of the front bumper. The paint layer appears disrupted, though the extent of the damage to the underlying material is undetermined.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0003.JPEG,"Note that the rear bumper displays scratches located on the right side. The damage has compromised the paint finish, exposing the material beneath.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0276.JPEG,"Notably, the right side of the front bumper has sustained deformation. The visible material is plastic, and the alignment of the bumper has been affected, resulting in a changed profile.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0017.JPEG,"Observation indicates that the plastic rear bumper has undergone deformation centrally. There is also an observable relationship with the trunk, suggesting possible interaction between the two components. Details of the damage should be documented for further evaluation tbh",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0246.JPEG,"The front left fender exhibits noticeable deformation. The metal surface has been altered, resulting in a warped appearance. This condition affects the overall alignment of the fender in relation to adjacent components.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\download (20).jpeg,"The rear bumper exhibits a noticeable deformation in the center area. The material is identified as metal, which may have altered the shape of the component. Inspection of the bumper's alignment is recommended.",1,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\0010.JPEG,"Upon inspection, a dent is present on the lower part of the door made of metal. The damage is localized and impacts the external surface.",2,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0195.JPEG,"Notable deformation is present in the left side of the rear section, with metal material exposed. The rear window's condition may also reflect this deformation.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0015.JPEG,"The rear door exhibits noticeable deformation at its center, with the metal surface altered in shape. This alteration is visible upon close inspection, indicating a change from its original form.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (68).jpeg,"Notable deformation is present in the center of the front bumper. The bumper, constructed of metal, displays an alteration that may require further examination for any underlying issues. Visual assessment shows the extent of the deformation.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0148.JPEG,"Inspection of the front wheel reveals deformation across the entire wheel. Metal is the visible material, indicating a structural alteration due to external impact.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\024909e6f1af4f00be4ef420354291a3_thb.jpg,"I think inspection reveals that the front bumper has a noticeable deformation located at the center. The bumper is made of plastic, and this alteration could influence its interaction with the hood.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0026.JPEG,"The right side door exhibits a scratch located centrally. The paint surface is visibly affected, indicating a disturbance in the finish. Careful examination may be necessary for a complete assessment.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\0050.JPEG,"A dent is present on the center of the hood, which is made of metal. The surface exhibits a noticeable indentation that disrupts the uniformity of the material. This condition should be noted for further evaluation.",0,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0121.JPEG,"I think the hood exhibits deformation at the center, with the underlying metal material visibly affected. Additionally, the front bumper may show related signs of impact. Further inspection is recommended to assess the overall condition.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images - 2022-12-12T151413.058.jpeg,"Upon inspection, the front bumper exhibits deformation on the lower right section, which is composed of plastic material. This deformation is noted to be adjacent to the front fender area, indicating a possible impact.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0054.jpeg,Noticed a deformation in the front bumper at the center area. It is made of plastic and shows a misalignment with the hood above.,1,severe,2,training
